epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,258.993,1.01737,0.50209,0.00788,0.98719,0.96774,0.99235,0.68717,1.15406,0.40353,0.01001,0.00623074,0.00623074,0.00623074
129,261.622,1.03219,0.53203,0.00786,1,0.96153,0.99083,0.72872,1.00196,0.35067,0.00817,0.00618034,0.00618034,0.00618034
130,263.699,1.02482,0.57846,0.00866,1,0.92736,0.98811,0.68225,1.18862,0.38754,0.01026,0.00612981,0.00612981,0.00612981
131,265.945,1.02732,0.55614,0.0088,0.99471,0.93548,0.98971,0.69991,1.02979,0.35901,0.00872,0.00607916,0.00607916,0.00607916
132,268.476,1.03736,0.5775,0.00916,0.99427,0.93548,0.98811,0.70921,1.09226,0.37315,0.00909,0.0060284,0.0060284,0.0060284
133,270.726,1.09259,0.54586,0.00911,0.984,0.93548,0.98552,0.70111,1.0554,0.39259,0.00883,0.00597754,0.00597754,0.00597754
134,272.731,1.01023,0.52417,0.00871,0.93666,0.95436,0.98322,0.68989,1.09267,0.43919,0.00917,0.00592657,0.00592657,0.00592657
135,274.889,0.9673,0.52632,0.00852,0.96321,0.93548,0.98711,0.68345,1.13658,0.40385,0.00944,0.00587551,0.00587551,0.00587551
136,277.139,0.95239,0.50031,0.00839,0.96741,0.95768,0.9882,0.68395,1.12213,0.40584,0.00936,0.00582435,0.00582435,0.00582435
137,279.567,1.01605,0.56594,0.00926,0.96512,0.89272,0.98208,0.68393,1.0673,0.42152,0.00901,0.00577311,0.00577311,0.00577311
138,281.756,1.03447,0.51834,0.00915,0.96651,0.93095,0.98796,0.68414,1.15644,0.4266,0.00984,0.00572179,0.00572179,0.00572179
139,284.014,1.01721,0.51118,0.00893,0.93323,0.96774,0.97847,0.69077,1.09611,0.41523,0.00902,0.0056704,0.0056704,0.0056704
140,286.094,0.92903,0.48488,0.00806,0.98788,0.93548,0.98185,0.67167,1.19982,0.44639,0.01058,0.00561894,0.00561894,0.00561894
141,288.186,0.95916,0.53837,0.00821,0.96649,0.93057,0.98217,0.69097,1.16892,0.40575,0.01012,0.00556742,0.00556742,0.00556742
142,290.216,1.0206,0.62784,0.0085,0.84025,0.96774,0.97257,0.66735,1.24249,0.45172,0.01083,0.00551584,0.00551584,0.00551584
143,292.5,1.00504,0.53906,0.00859,0.93587,1,0.98955,0.65507,1.28955,0.40131,0.01134,0.00546421,0.00546421,0.00546421
144,294.872,0.94658,0.50111,0.00784,0.96763,0.96427,0.98788,0.68185,1.21967,0.40349,0.01049,0.00541253,0.00541253,0.00541253
145,297.174,1.03357,0.57678,0.00887,0.96739,0.95704,0.98987,0.69772,1.18403,0.38593,0.00996,0.00536081,0.00536081,0.00536081
146,299.394,1.00023,0.55747,0.0083,1,0.95381,0.965,0.71251,1.05358,0.4051,0.00854,0.00530906,0.00530906,0.00530906
147,301.685,1.01007,0.57353,0.0082,0.93597,0.94325,0.98135,0.71763,1.06042,0.40702,0.00867,0.00525728,0.00525728,0.00525728
148,303.999,0.97778,0.48647,0.00805,0.96825,0.98396,0.99406,0.73174,1.05745,0.30691,0.00862,0.00520548,0.00520548,0.00520548
149,306.333,0.94556,0.48046,0.0079,0.96346,0.96774,0.98987,0.72743,1.00973,0.32173,0.00829,0.00515366,0.00515366,0.00515366
150,308.887,1.02865,0.58192,0.00831,0.96727,0.95347,0.98397,0.704,1.07715,0.39892,0.00912,0.00510184,0.00510184,0.00510184
151,311.483,0.97544,0.46989,0.00837,0.91139,1,0.97374,0.68562,1.11865,0.41527,0.00952,0.00505,0.00505,0.00505
